name,p_nom,carrier,marginal_cost,max_hours,efficiency_store,efficiency_dispatch,state_of_charge_initial,bus,standing_loss,capital_cost,p_nom_extendable,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,build_year,p_nom_opt
STES_Harker,506.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 9,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Stella West,507.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 10,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,500.1562988433886
STES_Penwortham,508.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 11,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Deeside,508.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 12,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Daines,509.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 13,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Marsh_Stocksbridge,510.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 14,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Thornton_Drax_Eggborough,511.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 15,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Keadby,512.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 16,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Ratcliffe,513.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 17,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Feckenham,514.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 18,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Walpole,515.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 19,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,13235.771304727445
STES_Bramford,516.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 20,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,8063.275467846157
STES_Pelham,500.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 21,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,3787.5117403757554
STES_Sundon_East_Claydon,501.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 22,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,521.2533803
STES_Melksham,502.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 23,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Bramley,503.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 24,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_London,504.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 25,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Kemsley,505.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 26,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Sellindge,506.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 27,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_Lovedean,507.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 28,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
STES_S_W_Penisula,508.0,Seasonal Thermal Energy Storage,0.0,2880.0,0.9,0.95,1440000.0,Heat Bus 29,0.1,1000.0,True,,,,,,,,,,,,,,,,,,,,,0,499.81731823164006
