FES Scenario,Building Block ID Number,Unit,DNO License Area,GSP,Latitude,Longitude,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Comment
Leading the Way,Lct_BB009,Number,EPN,Clacton,51.825998,1.17942,199.7,204.1,209.3,218.5,228.9,234.7,245.9,268.8,294.3,328.2,357.3,405.2,461.7,526.2,633.2,673.9,775.2,873.5,973.3,1069.2,1068.4,1153.6,1228.2,1294.5,1348.9,1306.6,1346.8,1386.4,1423.7,1432.6,
Leading the Way,Lct_BB009,Number,EPN,Eaton Socon,52.21493994,-0.302532899,4484.9,4610.2,4779.5,4967.1,5190.1,5317.7,5607.1,6097.9,6687.9,7461.2,8093.9,9190.5,10465.1,11936.6,14336.6,15202.6,17484.7,19692.0,21924.5,24097.1,23953.3,25858.4,27546.0,29018.8,30241.4,29290.6,30183.3,31076.5,31905.2,32104.8,
Leading the Way,Lct_BB009,Number,EPN,Elstree,51.660005,-0.342297996,4185.4,4299.7,4461.2,4636.1,4844.0,5088.2,5362.9,5833.9,6398.1,7137.3,7748.0,8798.0,10017.4,11427.2,13723.1,14649.9,16849.8,18976.0,21127.8,23221.0,22953.4,24778.8,26396.3,27808.9,28980.1,28141.2,28999.7,29856.5,30653.6,30845.3,
Leading the Way,Lct_BB009,Number,EPN,Mill Hill,51.61803271,-0.209537733,4538.7,4665.5,4836.8,5026.7,5252.4,5517.4,5815.5,6325.6,6938.5,7741.1,8402.8,9539.6,10862.6,12391.5,14881.2,15886.6,18271.5,20578.6,22911.2,25181.4,24892.3,26871.6,28625.1,30156.9,31426.4,30517.0,31447.6,32376.3,33242.0,33450.0,
Leading the Way,Lct_BB009,Number,EPN,Norwich Main,52.57327,1.27176,3809.1,3917.0,4062.7,4221.3,4411.8,4499.7,4744.6,5160.4,5660.1,6313.3,6878.3,7810.9,8893.2,10145.2,12183.6,13014.9,14968.3,16858.7,18768.7,20628.6,20693.3,22339.0,23796.9,25069.8,26124.8,25300.4,26072.0,26842.4,27558.8,27731.2,
Leading the Way,Lct_BB009,Number,EPN,Pelham,51.9351384,0.116788355,3432.8,3529.9,3661.3,3806.4,3977.8,4237.0,4466.2,4858.4,5328.0,5944.0,6501.0,7381.9,8405.0,9588.2,11515.2,12465.1,14337.8,16147.0,17977.9,19758.5,19746.7,21318.1,22708.4,23923.8,24931.7,24249.2,24989.0,25727.3,26414.2,26579.4,
Leading the Way,Lct_BB009,Number,EPN,Rayleigh,51.68216462,-4.987251645,4492.6,4622.9,4793.8,4980.4,5204.8,5333.4,5620.8,6113.7,6706.1,7481.1,8122.4,9221.4,10500.0,11977.2,14384.5,15276.2,17570.0,19788.2,22031.3,24214.8,24097.8,26014.2,27710.9,29194.4,30423.2,29462.5,30361.3,31259.6,32094.0,32294.8,
Leading the Way,Lct_BB009,Number,EPN,Rye House,51.75814827,0.003460778,3909.0,4023.3,4171.7,4336.0,4530.8,4758.9,5017.9,5457.6,5986.1,6677.0,7259.7,8242.7,9385.5,10706.4,12857.6,13740.8,15804.2,17799.2,19816.2,21780.8,21582.1,23299.8,24819.4,26147.3,27248.1,26444.9,27252.3,28057.4,28807.1,28987.3,
Leading the Way,Lct_BB009,Number,EPN,Sheringham Shoal,52.57327,1.27176,721.9,740.0,765.5,796.6,833.3,849.5,895.0,973.9,1068.6,1191.9,1298.2,1473.6,1677.9,1914.6,2299.4,2456.1,2824.5,3181.9,3541.6,3892.3,3905.2,4214.9,4490.5,4731.1,4929.8,4774.5,4919.0,5064.6,5200.3,5232.8,
Leading the Way,Lct_BB009,Number,EPN,Sundon,51.9332783,-0.501574699,4269.9,4393.3,4555.8,4735.4,4948.4,5160.0,5439.8,5916.1,6488.7,7239.6,7887.5,8956.4,10197.3,11632.9,13970.7,14977.5,17227.3,19401.8,21601.1,23741.2,23693.0,25577.7,27246.0,28704.4,29911.8,29030.3,29916.2,30800.2,31622.8,31820.6,
Leading the Way,Lct_BB009,Number,EPN,Tilbury,51.46107879,0.391610897,2949.0,3032.3,3145.2,3268.0,3415.5,3788.6,3993.1,4344.6,4765.0,5316.0,5812.1,6599.5,7513.7,8570.7,10293.7,11229.9,12916.1,14547.4,16196.0,17801.0,17584.1,18981.6,20220.5,21302.8,22199.7,21668.7,22330.0,22989.5,23603.5,23751.1,
Leading the Way,Lct_BB009,Number,EPN,Tottenham,51.60378016,-0.048684301,4684.6,4814.3,4994.5,5187.8,5422.7,5648.7,5953.8,6475.8,7103.0,7924.3,8532.3,9688.3,11031.4,12583.2,15112.0,15957.3,18352.4,20669.0,23012.1,25293.0,24670.1,26632.6,28370.6,29888.8,31147.1,30232.1,31155.9,32076.7,32932.9,33138.9,
Leading the Way,Lct_BB009,Number,EPN,Walpole (_A),52.72774811,0.198926176,3455.9,3555.5,3687.1,3830.7,4005.2,4261.5,4491.9,4885.3,5358.2,5978.0,6538.0,7423.9,8452.4,9641.4,11579.9,12525.7,14405.7,16224.3,18064.0,19853.5,19842.6,21421.4,22818.4,24040.3,25051.8,24360.5,25104.4,25845.5,26536.2,26702.1,
Leading the Way,Lct_BB009,Number,EPN,Warley,51.55302,0.30064,3501.9,3602.2,3735.9,3881.5,4056.5,4315.8,4549.9,4948.5,5427.6,6054.8,6630.6,7527.7,8571.0,9777.1,11743.1,12753.7,14668.9,16520.3,18393.3,20215.4,20258.1,21870.2,23297.4,24543.1,25576.1,24881.2,25640.1,26398.0,27104.3,27273.8,
Leading the Way,Lct_BB009,Number,EPN,Watford South,51.64227556,-0.405094634,4200.8,4321.0,4481.3,4653.8,4864.2,5109.3,5385.1,5857.6,6425.3,7168.5,7780.7,8834.4,10059.2,11474.8,13780.8,14710.5,16919.2,19056.2,21215.3,23317.5,23050.8,24883.7,26507.8,27925.4,29100.2,28259.1,29120.0,29981.3,30782.3,30974.8,
Leading the Way,Lct_BB009,Number,EPN,West Thurrock,51.4723,0.28938,936.9,961.2,994.9,1034.9,1080.5,1126.2,1187.0,1291.7,1415.8,1579.8,1701.1,1932.0,2199.6,2509.4,3012.8,3181.9,3658.9,4121.0,4587.6,5042.9,4918.8,5309.9,5655.9,5958.6,6210.6,6027.1,6211.4,6396.0,6565.5,6606.6,
Leading the Way,Lct_BB009,Number,EPN,Wymondley,51.9285,-0.25037,3432.8,3534.2,3664.2,3808.6,3979.6,4238.7,4469.7,4861.6,5332.5,5948.2,6505.3,7386.1,8410.6,9593.8,11522.2,12473.8,14346.4,16157.2,17988.3,19772.0,19760.4,21330.4,22722.6,23938.1,24946.3,24263.9,25003.8,25743.9,26430.9,26596.2,
Leading the Way,Lct_BB009,Number,IDNO - Refer to Comment Field,Tynemouth 2,55.02380967,-1.499288562,491.5,506.1,524.7,545.0,567.7,564.0,594.4,646.6,709.4,791.3,881.1,1001.1,1139.5,1300.2,1562.0,1710.0,1966.8,2215.1,2465.9,2710.0,2847.5,3075.2,3274.8,3451.0,3595.5,3649.7,3761.8,3872.9,3975.4,4000.3,Note: TYNE2 is operated by an IDNO allocated to GSP Group/licence area F
Leading the Way,Lct_BB009,Number,LPN,Acton Lane 22kV,51.53495051,-0.257050264,591.3,603.9,627.9,651.0,681.3,698.9,736.1,800.0,878.4,978.8,1052.0,1194.6,1359.9,1550.7,1861.7,1952.5,2246.0,2530.0,2816.0,3096.0,3013.4,3252.5,3464.8,3650.5,3804.9,3682.4,3794.8,3907.9,4012.2,4037.3,
Leading the Way,Lct_BB009,Number,LPN,Barking,51.51815491,0.113163452,1919.9,1973.4,2047.1,2127.2,2223.3,2315.5,2440.6,2654.5,2911.5,3247.6,3497.5,3970.6,4521.9,5158.7,6194.5,6541.4,7523.2,8472.3,9433.3,10367.8,10113.1,10917.4,11629.1,12250.8,12767.0,12393.1,12770.6,13148.3,13498.7,13583.1,
Leading the Way,Lct_BB009,Number,LPN,Barking West,51.51646602,0.106957792,2687.9,2764.4,2864.2,2976.7,3111.5,3240.4,3415.9,3715.3,4076.8,4547.5,4895.3,5559.2,6329.5,7220.2,8671.2,9156.2,10531.3,11859.8,13204.9,14513.5,14156.8,15281.8,16279.8,17149.5,17872.1,17347.8,17877.5,18405.9,18896.1,19014.3,
Leading the Way,Lct_BB009,Number,LPN,Beddington (_C),51.37403,-0.12918,3440.5,3534.2,3667.0,3808.6,3981.4,4194.9,4421.8,4809.4,5276.7,5885.7,6398.5,7264.1,8271.1,9435.6,11332.2,12149.1,13973.3,15737.3,17520.9,19256.3,19072.5,20588.6,21932.5,23104.9,24077.8,23397.8,24112.0,24825.2,25488.4,25647.8,
Leading the Way,Lct_BB009,Number,LPN,City Road,51.53069,-0.0958,4845.9,4984.4,5169.4,5370.9,5613.2,5752.1,6063.1,6594.3,7234.3,8069.2,8663.3,9835.5,11200.1,12774.9,15342.8,16090.1,18507.2,20842.6,23204.9,25504.1,24823.8,26797.6,28546.5,30073.9,31340.3,30338.5,31263.0,32188.3,33046.5,33253.2,
Leading the Way,Lct_BB009,Number,LPN,Hackney 132kV,51.55946391,-0.040783844,1751.0,1799.0,1866.5,1939.6,2027.3,2112.4,2227.1,2422.1,2656.5,2963.5,3190.0,3622.9,4124.4,4705.2,5651.3,5967.0,6862.3,7728.6,8605.4,9457.0,9224.3,9958.1,10608.2,11175.0,11646.9,11304.3,11649.7,11993.2,12313.9,12390.9,
Leading the Way,Lct_BB009,Number,LPN,Hackney 66kV,51.55952616,-0.044431147,2127.3,2186.0,2265.0,2354.5,2459.5,2562.5,2701.9,2937.5,3222.5,3595.6,3870.4,4395.5,5004.5,5708.7,6855.9,7239.8,8327.3,9377.9,10440.7,11474.8,11193.6,12083.3,12871.5,13559.7,14130.5,13716.1,14135.5,14553.0,14940.8,15034.2,
Leading the Way,Lct_BB009,Number,LPN,Hurst,51.43577,0.15361,2879.9,2960.0,3070.7,3188.6,3333.1,3513.6,3702.8,4028.4,4417.9,4928.2,5358.0,6083.6,6926.5,7900.4,9488.8,10172.1,11699.9,13176.6,14670.7,16124.1,15969.3,17240.5,18365.6,19347.5,20162.5,19592.6,20190.3,20787.6,21342.6,21476.0,
Leading the Way,Lct_BB009,Number,LPN,Islington,51.561381,-0.113443,0.0,4338.2,4499.7,4674.7,4886.2,5066.8,5341.3,5809.6,6372.4,7108.7,7648.5,8684.4,9888.4,11279.9,13547.0,14278.1,16421.7,18495.2,20591.9,22631.6,22063.1,23817.6,25371.6,26728.9,27853.9,27017.5,27841.7,28665.2,29430.1,29614.2,
Leading the Way,Lct_BB009,Number,LPN,Littlebrook (_C),51.46062061,0.244394454,2534.3,2602.8,2700.8,2806.8,2933.9,3091.5,3258.7,3544.6,3888.1,4337.2,4714.6,5353.1,6095.2,6952.9,8350.4,8952.7,10297.0,11595.9,12911.1,14190.8,14054.8,15172.4,16162.0,17026.6,17743.9,17243.0,17768.7,18294.4,18782.5,18900.0,
Leading the Way,Lct_BB009,Number,LPN,Lodge Road,51.52844276,-0.170525491,4523.3,3489.5,3621.2,3761.7,3931.1,4027.7,4246.3,4618.5,5065.8,5651.3,6067.2,6888.7,7843.6,8947.2,10745.1,11268.8,12960.6,14597.3,16252.0,17861.3,17385.1,18768.0,19992.8,21061.4,21948.1,21247.1,21894.4,22542.2,23144.4,23289.1,
